size,time-eucledian,points-explored-eucledian,time-manhattan,points-explored-manhattan
5x5,0.000037,26,0.000003,26
10x10,0.000011,85,0.000011,85
15x15,0.000027,197,0.000022,197
20x20,0.000047,360,0.000045,361
25x25,0.000075,555,0.000089,555
30x30,0.000110,809,0.000120,810
35x35,0.000216,1119,0.000150,1119
40x40,0.000203,1443,0.000239,1443
45x45,0.000504,1834,0.000439,1834
50x50,0.000523,2258,0.000423,2258
55x55,0.000662,2739,0.000513,2739
60x60,0.000746,3232,0.000805,3232
65x65,0.000676,3811,0.000844,3811
70x70,0.002314,4360,0.000925,4360
75x75,0.000846,5108,0.000982,5108
80x80,0.001035,5764,0.001120,5764
85x85,0.001341,6489,0.001131,6489
90x90,0.001543,7264,0.001383,7264
95x95,0.001454,8126,0.001350,8126
100x100,0.001608,9000,0.002429,9001
105x105,0.002072,9929,0.002576,9929
110x110,0.001893,10934,0.001805,10934
115x115,0.002564,11879,0.001981,11879
120x120,0.002229,12945,0.002173,12946
125x125,0.002491,14084,0.003239,14084
130x130,0.003195,15204,0.002800,15205
135x135,0.003433,16346,0.003573,16346
140x140,0.003121,17615,0.002938,17615
145x145,0.004044,19004,0.004632,19004
150x150,0.003972,20205,0.004466,20205
155x155,0.003844,21643,0.003701,21643
160x160,0.005466,23011,0.004464,23011
165x165,0.004460,24409,0.004884,24410
170x170,0.004705,26025,0.004620,26025
175x175,0.005422,27527,0.004962,27527
180x180,0.005251,29152,0.005120,29152
185x185,0.007116,30795,0.005746,30795
190x190,0.006576,32437,0.005594,32437
195x195,0.007605,34289,0.006489,34289
200x200,0.007484,35996,0.006355,35996
205x205,0.007994,37797,0.006801,37797
210x210,0.007528,39715,0.007608,39715
215x215,0.007918,41553,0.008035,41553
220x220,0.009466,43550,0.009149,43551
225x225,0.010192,45644,0.011161,45644
230x230,0.011527,47546,0.008514,47546
235x235,0.010695,49649,0.009928,49649
240x240,0.012888,51752,0.011016,51753
245x245,0.011902,54072,0.010117,54073
250x250,0.010797,56230,0.012180,56230
255x255,0.012281,58564,0.012521,58564
260x260,0.012421,60784,0.014229,60784
265x265,0.014056,63137,0.016941,63138
270x270,0.013427,65552,0.013345,65552
275x275,0.013436,67946,0.013569,67947
280x280,0.014348,70607,0.014655,70607
285x285,0.014785,73029,0.015405,73031
290x290,0.016852,75716,0.017500,75716
295x295,0.018208,78573,0.016304,78573
300x300,0.016081,80900,0.022227,80900
305x305,0.019322,83607,0.017692,83607
310x310,0.019876,86628,0.019589,86628
315x315,0.020605,89318,0.020148,89318
320x320,0.020687,92241,0.019634,92241
325x325,0.020882,95181,0.023074,95181
330x330,0.025454,98081,0.020135,98081
335x335,0.025158,100982,0.019933,100982
340x340,0.022043,104125,0.021615,104125
345x345,0.024020,107071,0.021585,107071
350x350,0.023777,110165,0.021960,110165
355x355,0.024077,113356,0.022959,113356
360x360,0.025546,116653,0.024088,116653
365x365,0.026868,119796,0.023335,119796
370x370,0.036006,123203,0.039406,123203
375x375,0.031386,126478,0.025499,126478
380x380,0.029248,129868,0.026147,129868
385x385,0.028808,133375,0.025846,133375
390x390,0.027912,136938,0.027356,136938
395x395,0.029942,140410,0.027899,140410
400x400,0.029205,143906,0.027953,143906
405x405,0.030337,147595,0.028767,147595
410x410,0.030151,151327,0.030719,151327
415x415,0.030965,154864,0.029324,154868
420x420,0.031589,158532,0.030597,158532
425x425,0.037613,162541,0.033198,162541
430x430,0.034333,166395,0.033036,166395
435x435,0.039211,170126,0.035788,170126
440x440,0.039776,174138,0.036547,174139
445x445,0.038594,178229,0.034799,178229
450x450,0.039366,182351,0.037385,182351
455x455,0.038723,186463,0.038554,186463
460x460,0.041442,190542,0.037253,190543
465x465,0.041852,194462,0.039509,194462
470x470,0.041332,198776,0.044443,198776
475x475,0.042723,203139,0.043526,203139
480x480,0.044589,207490,0.041575,207493
485x485,0.044913,211567,0.041996,211567
490x490,0.047071,216076,0.042075,216076
495x495,0.069924,220687,0.052933,220687
500x500,0.055409,224781,0.052867,224781
505x505,0.058543,229759,0.073209,229759
510x510,0.058618,234166,0.056775,234166
515x515,0.066947,238557,0.060346,238557
520x520,0.103746,243151,0.096498,243151
525x525,0.095417,248283,0.056436,248283
530x530,0.064014,253169,0.067340,253169
535x535,0.071765,257597,0.060702,257597
540x540,0.070964,262350,0.073818,262350
545x545,0.067256,267519,0.062917,267519
550x550,0.062466,272428,0.061349,272428
555x555,0.063275,276988,0.065796,276988
560x560,0.086110,282484,0.082960,282484
565x565,0.071764,287282,0.064959,287282
